"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","images","downloadable_files","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class"
"3 по цене 2! Мультивитаминный крем для рук и ногтей с минералами Мертвого моря 3 x 100ml","3-%d0%bf%d0%be-%d1%86%d0%b5%d0%bd%d0%b5-2-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d0%b2%d0%b8%d1%82%d0%b0%d0%bc%d0%b8%d0%bd%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83","1885","","Вы можете получить 3 тюбика мультивитаминного крема для рук и ногтей с минералами Мертвого моря по цене 2-ух!<br>100 мл каждый тюбик.<br>(артикул 14879)","publish","0","2017-03-18 16:45:13","3","closed","14879","no","no","","810","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/3-price-2-dead-sea-minerals-multi-vitamin-hand-nail-cream-3-x-100ml.jpg","","simple","Расширенный список > Health and Beauty Cosmetics|Расширенный список > Брэнд Dead Sea|Крема|Расширенный список > Крема|Лечебная косметика|Наборы|Расширенный список > Наборы|Расширенный список|Расширенный список > Скидочные наборы|Расширенный список > Уход за кожей рук и ног|Уход за телом","",""
"AHAVA Deadsea, Минеральный крем для рук","ahava-deadsea-%d0%bc%d0%b8%d0%bd%d0%b5%d1%80%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba","1886","","Питательный, содержащий минералы Метртвого Моря крем от  AHAVA.<br>Содрежит УФ - фильтры, гипоалергенный, не содержит парабенов, 100 мл","publish","0","2017-03-18 16:45:29","3","closed","15268","no","no","","530","","","","","","","visible","instock","no","no","none","","","no","","","","","","","","","simple","Расширенный список > AHAVA - серия|Расширенный список > Брэнд Dead Sea|Крема|Расширенный список > Крема|Расширенный список|Расширенный список > Уход за кожей рук и ног|Уход за телом","",""
"AHAVA Крем для рук - Набор из трех упаковок","ahava-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-%d0%bd%d0%b0%d0%b1%d0%be%d1%80-%d0%b8%d0%b7-%d1%82%d1%80%d0%b5%d1%85-%d1%83%d0%bf%d0%b0%d0%ba%d0%be%d0%b2%d0%be%d0%ba","1887","","Набор из трех кремов","publish","0","2017-03-18 16:45:34","3","closed","15270","no","no","","1630","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/ahava-hand-cream-super-saver-3-pack.jpg","","simple","Расширенный список > AHAVA - серия|Расширенный список > Брэнд Dead Sea|Крема|Расширенный список > Крема|Наборы|Расширенный список > Наборы|Расширенный список|Расширенный список > Скидочные наборы|Расширенный список > Уход за кожей рук и ног|Уход за телом","",""
"AHAVA Набор минеральный Крем для рук и Крем для ног, Dead Sea Cosmetics","ahava-%d0%bd%d0%b0%d0%b1%d0%be%d1%80-%d0%bc%d0%b8%d0%bd%d0%b5%d1%80%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-%d0%b8-%d0%ba%d1%80%d0%b5%d0%bc","1888","","Косметика AHAVA известна своими запатентованными комплексами, которые в сочетании с растительными экстрактами увлажняют, восстанавливают и омолаживают кожу рук и ног. Подходит для всех типов кожи 100 ml","publish","0","2017-03-18 16:45:39","3","closed","16582","no","no","","630","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/ahava-value-set-mineral-hand-cream-and-foot-cream-dead-sea-cosmetics.jpg","","simple","Расширенный список > AHAVA - серия|Расширенный список > Брэнд Dead Sea|Крема|Расширенный список > Крема|Наборы|Расширенный список > Наборы|Расширенный список|Расширенный список > Скидочные наборы|Расширенный список > Уход за кожей ног|Расширенный список > Уход за кожей рук и ног","",""
"Bio Spa Dead Sea Грязевая маска Sea of Spa","bio-spa-dead-sea-%d0%b3%d1%80%d1%8f%d0%b7%d0%b5%d0%b2%d0%b0%d1%8f-%d0%bc%d0%b0%d1%81%d0%ba%d0%b0-sea-of-spa","1889","","Грязевая маска с минералами Мертвого Моря.  Обладает глубоким очищающим эффектом, выравнивает и увлажняет кожу.<br>Наносится не чаще 2 раз в неделю","publish","0","2017-03-18 16:46:22","3","closed","15774","no","no","","660","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-spa-dead-sea-mud-mask-sea-spa.jpg","","simple","Расширенный список > Брэнд Dead Sea|Расширенный список > Маски Dead Sea|Расширенный список|Расширенный список > Спа - серия Sea of SPA|Сыворотки и маски|Расширенный список > Сыворотки и маски|Расширенный список > Уход за лицом","",""
"Bio Spa Сыворотка - гель для волос с маслом Аргана и минералами Мертвого Моря","bio-spa-%d1%81%d1%8b%d0%b2%d0%be%d1%80%d0%be%d1%82%d0%ba%d0%b0-%d0%b3%d0%b5%d0%bb%d1%8c-%d0%b4%d0%bb%d1%8f-%d0%b2%d0%be%d0%bb%d0%be%d1%81-%d1%81-%d0%bc%d0%b0%d1%81%d0%bb%d0%be%d0%bc-%d0%b0%d1%80","1890","","Продукт серии Sea of Spa.<br>Для использования нужно наносить на волосы всего несколько капель для регенерации и восстановления ваших волос.<br>Аргановое масло будет питать корни волос и восстанавливать кожу головы.<br>Также содержит   витамин Е, способствующий омоложению и минералы Мертвого Моря.<br>Нанесите несколько капель геля - сыворотки на руку, затем перенесите на влажные волосы и распределите по всей длинне. Смывание не требуется","publish","0","2017-03-18 16:46:41","3","closed","15849","no","no","","660","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-spa-hair-serum-drops-argan-oil-and-dead-sea-minerals.gif","","simple","Расширенный список > Брэнд Dead Sea|Расширенный список > Марокканское аргановое масло|Расширенный список|Расширенный список > Спа - серия Sea of SPA|Уход за волосами|Расширенный список > Уход за волосами","",""
"Bio Spa Professional Conditioner for dry Damaged Colored Hair with Argan Oil and Shea Butter","bio-spa-professional-conditioner-for-dry-damaged-colored-hair-with-argan-oil-and-shea-butter","1891","","Bio Spa Conditioner for dried, damaged & died hair enriched with Argan Oil and Shea Butter, is designed to give your hair back its shine.","publish","0","2017-03-18 16:46:32","3","closed","15834","no","no","","500","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-spa-professional-conditioner-dry-damaged-colored-hair-argan-oil-and-shea-butter.gif","","simple","Расширенный список > Брэнд Dead Sea|Расширенный список > Марокканское аргановое масло|Расширенный список|Расширенный список > Спа - серия Sea of SPA|Уход за волосами|Расширенный список > Уход за волосами","",""
"Bio Spa Профессиональный увлажняющий крем для волос","bio-spa-%d0%bf%d1%80%d0%be%d1%84%d0%b5%d1%81%d1%81%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%83%d0%b2%d0%bb%d0%b0%d0%b6%d0%bd%d1%8f%d1%8e%d1%89%d0%b8%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc","1892","","Крем обогащен маслом Аргана и маслом Ши.<br>Не требует смывания, наносится на влажные волосы.<br>Крем питает и увлажняет волосы, делает их гладкими и послушными в укладке. В то же время, масла не отягощают волосы, поэтому этот продукт относится к профессиональному уходу - после укладки прическа держится долго и волосы выглядят ухоженно","publish","0","2017-03-18 16:46:37","3","closed","15836","no","no","","410","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-spa-professional-leave-hair-moisturizing-cream-enriched-argan-oil-and-shea-butter.gif","","simple","Расширенный список > Брэнд Dead Sea|Крема|Расширенный список > Крема|Расширенный список > Марокканское аргановое масло|Расширенный список > Парфюмерия|Парфюмерия и дезодоранты|Расширенный список|Расширенный список > Спа - серия Sea of SPA|Уход за волосами|Расширенный список > Уход за волосами|Расширенный список > Уход за кожей рук и ног","",""
"Bio Spa Professional Shampoo for Oily and Thin Hair with Dead Sea Mud and Aloe Vera","bio-spa-professional-shampoo-for-oily-and-thin-hair-with-dead-sea-mud-and-aloe-vera","1893","","Bio Spa Professional Shampoo for Oily and Thin Hair is enriched with Dead Sea Mud and Aloe Vera to restore your hair to its natural shine and strength.","publish","0","2017-03-18 16:46:37","3","closed","15835","no","no","","410","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-spa-professional-shampoo-oily-thin-hair-dead-sea-mud-and-aloe-vera.gif","","simple","Расширенный список > Брэнд Dead Sea|Расширенный список > Для душа|Крема|Расширенный список > Крема|Расширенный список > Марокканское аргановое масло|Расширенный список > Мыла Dead Sea|Расширенный список > Парфюмерия|Парфюмерия и дезодоранты|Расширенный список|Расширенный список > Спа - серия Sea of SPA|Уход за волосами|Расширенный список > Уход за волосами|Расширенный список > Уход за кожей рук и ног|Расширенный список > Шампуни Dead Sea","",""
"Bio Spa Professional Shampoo for Damaged Dry Colored Hair with Argan and Wheat Sprout","bio-spa-professional-shampoo-for-damaged-dry-colored-hair-with-argan-and-wheat-sprout","1894","","Bio Spa Professional Shampoo for damaged, dry and colored hair. This shampoo is enriched with Argan and Wheat Sprout to revitilize your hair.","publish","0","2017-03-18 16:46:32","3","closed","15833","no","no","","410","","","","","","","visible","instock","no","no","none","","","no","","","","","","","http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-spa-professional-shampoo-damaged-dry-colored-hair-argan-wheat-sprout.gif","","simple","Расширенный список > Брэнд Dead Sea|Расширенный список > Для душа|Крема|Расширенный список > Крема|Расширенный список > Марокканское аргановое масло|Расширенный список > Мыла Dead Sea|Расширенный список > Парфюмерия|Парфюмерия и дезодоранты|Расширенный список|Расширенный список > Спа - серия Sea of SPA|Уход за волосами|Расширенный список > Уход за волосами|Расширенный список > Уход за кожей рук и ног|Расширенный список > Шампуни Dead Sea","",""
