sku;post_title;post_content;attributes;pa_color;pa_size;manual_attributes;ma_attribute-1;ma_attribute-2
sku1;attribute test product;manual attributes only work in version 3 or higher;color;red;;;;
sku2;attribute test product;manual attributes only work in version 3 or higher;size;;large;;;
sku3;attribute test product;manual attributes only work in version 3 or higher;size|color;red;large;;;
sku4;attribute test product;manual attributes only work in version 3 or higher;size|color;red|green;small|large;;;
sku5;attribute test product;manual attributes only work in version 3 or higher;size->0|color->0;red|green;small|large;;;
sku6;attribute test product;manual attributes only work in version 3 or higher;;;;attribute 1;value 1|value 2;
sku7;attribute test product;manual attributes only work in version 3 or higher;;;;attribute 2;;value1|value2|value3
sku8;attribute test product;manual attributes only work in version 3 or higher;;;;attribute 1|attribute 2;value 1;value1|value2|value3
sku9;attribute test product;manual attributes only work in version 3 or higher;size|color;red|green;small|large;attribute 1|attribute 2;value 1;value1|value2|value3
sku1;attribute test product;with merging should show red and green;color;green;;;;
sku2;attribute test product;with merging should show size and color;color;red;;;;
sku6;attribute test product;with merging should show value 1 and 2;;;;attribute 1;value 2;
sku7;attribute test product;with merging should show manual attribute 1 and 2;;;;attribute 1;value 1;
